chrono,https://github.com/chronotope/chrono,v0.4.23,,
itertools,https://github.com/rust-itertools/itertools,v0.10.4,,
image,https://github.com/image-rs/image,v0.24.5,,
prost,https://github.com/tokio-rs/prost,v0.11.6,,
pulldown-cmark,https://github.com/raphlinus/pulldown-cmark,v0.9.2,,
tracing,https://github.com/tokio-rs/tracing,master,,
tungstenite-rs,https://github.com/snapview/tungstenite-rs,v0.18.0,,
combine,https://github.com/Marwes/combine,v4.6.6,,
handlebars-rust,https://github.com/sunng87/handlebars-rust,v4.3.6,,
rust-prometheus,https://github.com/tikv/rust-prometheus,v0.13.3,,
unicode-xid,https://github.com/unicode-rs/unicode-xid,v0.2.4,,
rust-base64,https://github.com/marshallpierce/rust-base64,v0.21.0,,
httparse,https://github.com/seanmonstar/httparse,v1.8.0,,
rust-hex,https://github.com/KokaKiwi/rust-hex,v0.4.3,,
adler,https://github.com/jonas-schievink/adler,v1.0.2,,
ahash,https://github.com/tkaitchuck/ahash,v0.8.3,,
bumpalo,https://github.com/fitzgen/bumpalo,3.12.0,,
quick-xml,https://github.com/tafia/quick-xml,v0.27.1,,
curve25519-dalek,https://github.com/dalek-cryptography/curve25519-dalek,4.0.0-pre.5,,
rustls,https://github.com/rustls/rustls,v/0.20.8,,
plotters,https://github.com/plotters-rs/plotters,v0.3.4,,
arc-swap,https://github.com/vorner/arc-swap.git,v1.6.0,
rust-typed-arena,https://github.com/SimonSapin/rust-typed-arena,2.0.2,,
async-io,https://github.com/smol-rs/async-io,v1.12.0,,
image-png,https://github.com/image-rs/image-png.git,v0.17.5,,
parity-common,https://github.com/paritytech/parity-common.git,bounded-collections-v0.1.3,,
bytecount,https://github.com/llogiq/bytecount,master,,
thread_local-rs,https://github.com/Amanieu/thread_local-rs.git,1.1.4,,